,SFIM4,SFIU4,SFIZ4,SFIH5,SFIM5,SFIU5,SFIZ5,SFIH6,SFIM6,SFIU6,SFIZ6,ERM4,ERU4,ERZ4,ERH5,ERM5,ERU5,ERZ5,ERH6,ERM6,ERU6,SSYM4,SSYU4,SSYZ4,SSYH5,SSYM5,SSYU5,SSYZ5,SSYH6,SSYM6,SSYU6,SSYZ6,SFRM4,SFRU4,SFRZ4,SFRH5,SFRM5,SFRU5,SFRZ5,SFRH6,SFRM6,SFRU6,SFRZ6
07:00,,,,,,,,,,,,1462.0,2338.0,1222.0,561.0,954.0,784.0,767.0,644.0,685.0,421.0,,,,,,,,,,,,111.0,724.0,914.0,357.0,192.0,411.0,415.0,618.0,162.0,251.0,242.0
07:10,,,,,,,,,,,,1653.0,2429.0,1594.0,1093.0,1275.0,1040.0,1085.0,884.0,733.0,547.0,,,,,,,,,,,,311.0,951.0,1164.0,388.0,468.0,411.0,819.0,940.0,247.0,251.0,384.0
07:20,,,,,,,,,,,,1863.0,3658.0,3122.0,2101.0,2159.0,1564.0,2127.0,1680.0,1499.0,1064.0,,,,,,,,,,,,555.0,951.0,1364.0,591.0,664.0,720.0,1103.0,1082.0,257.0,323.0,420.0
07:30,1013.0,1471.0,804.0,518.0,318.0,296.0,313.0,221.0,290.0,70.0,478.0,2182.0,5058.0,4739.0,3191.0,2469.0,2180.0,2965.0,2112.0,1651.0,1246.0,1.0,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,,1002.0,3048.0,1639.0,1204.0,1069.0,782.0,1944.0,1309.0,586.0,400.0,553.0
07:40,1185.0,2091.0,1650.0,1215.0,451.0,641.0,736.0,261.0,305.0,88.0,493.0,2275.0,7194.0,6752.0,4308.0,3921.0,2379.0,3394.0,2463.0,1975.0,1625.0,15.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,,1052.0,3253.0,3708.0,1887.0,1518.0,977.0,2260.0,1588.0,738.0,538.0,670.0
07:50,1209.0,2902.0,1892.0,2229.0,643.0,919.0,911.0,382.0,352.0,88.0,515.0,2531.0,8254.0,8999.0,4945.0,4136.0,2540.0,4074.0,2788.0,2949.0,1871.0,55.0,2.0,44.0,1.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,1273.0,3966.0,6368.0,3347.0,2194.0,1311.0,3263.0,2243.0,971.0,615.0,2685.0
08:00,1254.0,3085.0,2221.0,2728.0,963.0,1016.0,1252.0,519.0,521.0,173.0,619.0,2574.0,9389.0,10849.0,5708.0,5156.0,4133.0,4532.0,3250.0,4919.0,2199.0,255.0,2.0,55.0,1.0,1.0,6.0,36.0,9.0,0.0,0.0,,1499.0,4965.0,8777.0,6693.0,4055.0,1558.0,4894.0,2676.0,1162.0,1006.0,3221.0
08:10,1263.0,3346.0,3360.0,3034.0,1617.0,1425.0,2255.0,802.0,719.0,238.0,908.0,2704.0,10120.0,12389.0,6428.0,6728.0,5008.0,5517.0,4167.0,5367.0,2439.0,255.0,73.0,62.0,1.0,1.0,6.0,36.0,9.0,0.0,0.0,,1803.0,5238.0,14557.0,8052.0,5521.0,3433.0,6944.0,4148.0,1803.0,1628.0,3867.0
08:20,1547.0,4058.0,5225.0,4510.0,2078.0,2034.0,3943.0,932.0,821.0,551.0,923.0,2781.0,12552.0,13214.0,6892.0,9217.0,5227.0,6207.0,4622.0,6006.0,3343.0,307.0,74.0,65.0,2.0,2.0,6.0,36.0,9.0,0.0,0.0,,1974.0,5695.0,15013.0,8586.0,5689.0,3446.0,7338.0,4259.0,1973.0,1632.0,4010.0
08:30,1563.0,4570.0,6277.0,4856.0,2281.0,2366.0,4332.0,1128.0,1017.0,641.0,1003.0,2803.0,13611.0,13841.0,7683.0,11412.0,5965.0,6649.0,5110.0,6512.0,3778.0,400.0,223.0,102.0,2.0,32.0,6.0,36.0,9.0,0.0,0.0,,2351.0,7301.0,15424.0,8987.0,5953.0,4644.0,7468.0,4476.0,2049.0,1794.0,4147.0
